date,symbol,sector,forward_pe,forward_eps_yoy,forward_eps_revision_3m,fcf_yield,debt_to_equity
2025-01-01,MSFT,Software,28,0.14,0.02,0.030,0.28
2025-01-01,ADBE,Software,24,0.10,0.01,0.035,0.24
2025-01-01,CRM,Software,31,0.16,0.03,0.028,0.16
2025-01-01,XOM,Energy,12,-0.03,-0.02,0.080,0.22
2025-01-01,CVX,Energy,14,-0.02,-0.01,0.072,0.15
2025-01-01,FANG,Energy,9,0.08,0.04,0.090,0.31
2025-04-01,MSFT,Software,27,0.15,0.03,0.031,0.28
2025-04-01,ADBE,Software,22,0.12,0.03,0.036,0.24
2025-04-01,CRM,Software,34,0.12,-0.02,0.026,0.16
2025-04-01,XOM,Energy,13,-0.05,-0.03,0.075,0.22
2025-04-01,CVX,Energy,15,-0.04,-0.02,0.070,0.15
2025-04-01,FANG,Energy,10,0.10,0.05,0.095,0.31
