agent,agent_name,industry,symbol
software,Ada Software,Software,MSFT
software,Ada Software,Software,ADBE
software,Ada Software,Software,CRM
software,Ada Software,Software,ORCL
software,Ada Software,Software,NOW
energy,Faraday Energy,Energy,XOM
energy,Faraday Energy,Energy,CVX
energy,Faraday Energy,Energy,FANG
energy,Faraday Energy,Energy,COP
energy,Faraday Energy,Energy,EOG
consumer_staples,Temple Staples,Consumer Staples,COST
consumer_staples,Temple Staples,Consumer Staples,WMT
consumer_staples,Temple Staples,Consumer Staples,KR
consumer_staples,Temple Staples,Consumer Staples,PG
consumer_staples,Temple Staples,Consumer Staples,PEP
consumer_staples,Temple Staples,Consumer Staples,KO
consumer_staples,Temple Staples,Consumer Staples,MCD
consumer_staples,Temple Staples,Consumer Staples,MDLZ
consumer_staples,Temple Staples,Consumer Staples,CL
consumer_staples,Temple Staples,Consumer Staples,KMB
consumer_staples,Temple Staples,Consumer Staples,SYY
consumer_staples,Temple Staples,Consumer Staples,HSY
consumer_staples,Temple Staples,Consumer Staples,KHC
healthcare,Curie Healthcare,Healthcare,UNH
healthcare,Curie Healthcare,Healthcare,JNJ
healthcare,Curie Healthcare,Healthcare,LLY
healthcare,Curie Healthcare,Healthcare,MRK
healthcare,Curie Healthcare,Healthcare,ABBV
industrials,Tesla Industrials,Industrials,CAT
industrials,Tesla Industrials,Industrials,GE
industrials,Tesla Industrials,Industrials,HON
industrials,Tesla Industrials,Industrials,UNP
industrials,Tesla Industrials,Industrials,DE
industrials,Tesla Industrials,Industrials,MMM
industrials,Tesla Industrials,Industrials,ETN
industrials,Tesla Industrials,Industrials,EMR
industrials,Tesla Industrials,Industrials,ITW
industrials,Tesla Industrials,Industrials,ROK
industrials,Tesla Industrials,Industrials,PH
industrials,Tesla Industrials,Industrials,FDX
industrials,Tesla Industrials,Industrials,UPS
